datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2005-06-30,,,,,,,,,,,,,,
2005-12-31,,,,,,,,,,,,,,
2007-02-19,,,,,,1122016.14984786,,337086.396949999,,,1226581.72604459,,,
2007-05-28,,,4973765.40293741,495153.402567926,,1110895.18480886,,1004454.04520922,,,1620195.82745015,,,
2007-09-28,,,4973765.40293741,495153.402567926,,1110895.18480886,,1004454.04520922,,,1620195.82745015,,,
2008-03-28,,,8734772.12050478,614513.968925523,,1212121.45306003,25173755.8538187,2182406.66715296,,,1467188.85403749,,,
2008-08-14,,,8734772.12050478,614513.968925523,,1212121.45306003,25173755.8538187,2182406.66715296,,,1467188.85403749,,,
2009-03-27,,,11941343.3555584,827627.318600523,,1575932.38842063,-7143780.83895948,3156643.22556296,,,777931.451894718,,,
2009-08-26,,,11941343.3555584,827627.318600523,,1575932.38842063,-7143780.83895948,3156643.22556296,,,777931.451894718,,,
2010-03-26,,,40489462.7498139,779870.583519441,,10921733.0355609,440449.636374048,3144969.9226937,,,-486532.89812747,,,
2010-08-26,,,40489462.7498139,779870.583519441,,10921733.0355609,440449.636374048,3144969.9226937,,,-486532.89812747,,,
2011-03-16,,,32911490.1478162,779870.583519441,,9269380.81733663,-1606212.44063942,2594980.69694335,,,4093997.96669119,,,
2011-08-11,,,32911490.1478162,779870.583519441,,9269380.81733663,-1606212.44063942,2594980.69694335,,,4093997.96669119,,,
2012-03-15,,,31731361.5533981,779870.583519441,,8986941.55339806,-2834823.84466019,1255696.97126214,,,4334730.6407767,,,
2012-08-28,,,31731361.5533981,779870.583519441,,8986941.55339806,-2834823.84466019,1255696.97126214,,,4334730.6407767,,,
2013-03-29,,,31621611.5157273,3247.57230314545,,7855065.50823306,-781853.031982267,-8197684.3862149,,,983202.514777285,,,
2013-08-28,,,31621611.5157273,3247.57230314545,,7855065.50823306,-781853.031982267,-8197684.3862149,,,983202.514777285,,,
2014-03-14,,,19359635.4702147,10792.7124281826,,8032268.67251285,381065.76957968,-20790084.9712731,,,-3520914.87753251,,,
2014-08-28,,,19359635.4702147,10792.7124281826,,8032268.67251285,381065.76957968,-20790084.9712731,,,-3520914.87753251,,,
2015-05-07,,,14288420.9278413,10792.7124281826,,7515519.86935221,-29518.3209338898,-8499722.83312164,,,-1576122.97828585,,,
2015-08-28,,,14288420.9278413,10792.7124281826,,7515519.86935221,-29518.3209338898,-8499722.83312164,,,-1576122.97828585,,,
2015-12-31,,,484125.541642684,10792.7124281826,,7129245.98994364,137058.372519847,-63393181.6552818,,,410438.244589003,,,
2016-08-08,,,484125.541642684,10792.7124281826,,7129245.98994364,137058.372519847,-63393181.6552818,,,410438.244589003,,,
2017-08-09,,,484125.541642684,10792.7124281826,,8245313.28847771,-23862.4053826745,-15932416.7367536,,,410438.244589003,,,
2017-09-29,,,484125.541642684,10792.7124281826,,8245313.28847771,-23862.4053826745,-15932416.7367536,,,410438.244589003,,,
2018-08-02,,,484125.541642684,10792.7124281826,,8589477.09360492,-887.801249985005,-4913979.918667,,,410438.244589003,,,
2018-09-28,,,484125.541642684,10792.7124281826,,8589477.09360492,-887.801249985005,-4913979.918667,,,410438.244589003,,,
2018-12-31,,,484125.541642684,10792.7124281826,,8589477.09360492,-887.801249985005,-4913979.918667,,,410438.244589003,,,
2019-12-12,,,601449.353151665,10792.7124281826,,8698090.42113955,35961.0973483806,74561739.2421323,,,410438.244589003,,,
2020-03-26,,,11907442.1003072,10792.7124281826,,8179814.13806246,-13527.3412102325,15098203.7082707,,,410438.244589003,,,
