,absacc,acc,age,agr,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,herf,hire,invest,lev,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,quick,rd_mve,rd_sale,roic,salecash,saleinv,salerec,sgr,sp
0003q.L^J08,0.0,-0.0,0.0,,,0.0,-0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
0008q.L^H00,0.0,-0.0,0.0,,,0.0,-0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,-0.0,0.0,,,,0.0,0.0,0.0,,
0010q.L^J08,0.0,-0.0,0.0,,,0.0,-0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,-0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0
0011q.L^J08,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012q.L^J08,0.0,-0.0,0.0,,,0.0,-0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,-0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0
0013q.L^J08,0.0,0.0,0.0,,,0.0,-0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0
0016q.L^J08,0.0125909057700475,0.0125909057700475,38.0,,,0.1521588662653181,-33.17953475096338,0.0,0.0,0.1589503764895192,,,0.0,,4.002340643837373,0.1111556000444889,0.0,,0.0,,0.0,0.0493346062927286,,0.0006635808350795,,,0.0,,0.0,,,,,,,,,,0.3978090766823162,0.6739130434782611,,,0.0447659529833907,3.698539555682417,0.3744785997090751,4.223085279739269,,0.0
0017q.L^J08,0.0060155635329027,-0.0060155635329027,38.0,,,0.0201063817857636,-6.777725961118072,-0.0,-0.0,0.1771103314066785,,,0.0,,1.1177864139693336,0.1295602809583372,0.0,,0.0,,0.0,0.0286934454544295,,0.0005108072290681,,,0.0,,0.0,,,,,,,,,,-1.0548202073681852,0.6297340243315299,,,,0.9467556062618584,0.8087660077992257,3.4427211612225923,,0.0
0018q.L^F97,0.0296109409258425,-0.0296109409258425,25.0,,,1.0307635954662038,-3.244927647455518,,,0.5903151227669186,,,0.0634553483960254,,10.54843083598358,0.0773182371105079,1.0,,,,,0.322798422460309,,5.1261516522361014e-08,,,,,0.0,,,,,,,,,,-0.3654464328551566,10.01188275028972,,,,1.1612849258119973,11.269098817619314,11.556724833901407,,
0020q.L^J08,0.0,-0.0,0.0,,,0.0,-0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,-0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0
