Company Name,RIC,RIC1(ticker),delisted MM,delisted YY,ISIN,CUSIP,SEDOL
Kibo Energy PLC,KIBO.L,KIBO,0,0,IE00B97C0C31,0.0,0.0
Baker Steel Resources Trust Ltd,BSRT.L,BSRT,0,0,GG00B6686L20,0.0,0.0
AvangardCo Investments Public Ltd,AVGRq.L,AVGRq,0,0,US05349V2097,0.0,0.0
Shaftesbury Capital PLC,SHCS.L,SHCS,0,0,GB00B62G9D36,0.0,0.0
Ilika PLC,IKA.L,IKA,0,0,GB00B608Z994,0.0,0.0
Capital Ltd,CAPD.L,CAPD,0,0,BMG022411000,0.0,0.0
Polar Capital Global Healthcare Trust PLC,PCGH.L,PCGH,0,0,GB00B6832P16,0.0,0.0
Jupiter Fund Management PLC,JUP.L,JUP,0,0,GB00B53P2009,0.0,0.0
Tialis Essential IT PLC,TIA.L,TIA,0,0,GB00BN4M3M55,0.0,0.0
Ocado Group PLC,OCDO.L,OCDO,0,0,GB00B3MBS747,0.0,0.0
GCP Infrastructure Investments Ltd,GCPI.L,GCPI,0,0,JE00B6173J15,0.0,0.0
DP Poland PLC,DPP.L,DPP,0,0,GB00B3Q74M51,0.0,0.0
JPmorgan Global Emerging Markets Income Trust PLC,JEMI.L,JEMI,0,0,GB00B5ZZY915,0.0,0.0
Argos Resources Ltd,ARGR.L,ARGR,0,0,FK0114538241,0.0,0.0
Scancell Holdings PLC,SCLP.L,SCLP,0,0,GB00B63D3314,0.0,0.0
Central Asia Metals PLC,CAML.L,CAML,0,0,GB00B67KBV28,0.0,0.0
Avation PLC,AVAP.L,AVAP,0,0,GB00B196F554,0.0,0.0
Mercantile Ports & Logistics Ltd,MPL.L,MPL,0,0,GG00BKSH7R87,0.0,0.0
Instem PLC,INS.L,INS,0,0,GB00B3TQCK30,0.0,0.0
Savannah Resources Plc,SAVS.L,SAVS,0,0,GB00B647W791,0.0,0.0
Foresight Solar & Technology VCT PLC,FTSV.L,FTSV,0,0,GB00B640GZ49,0.0,0.0
Gama Aviation PLC,GMAA.L,GMAA,0,0,GB00B3ZP1526,0.0,0.0
Zanaga Iron Ore Company Ltd,ZIOC.L,ZIOC,0,0,VGG9888M1023,0.0,0.0
TMT Investments PLC,TMTI.L,TMTI,0,0,JE00B3RQZ289,0.0,0.0
Hummingbird Resources PLC,HUMR.L,HUMR,0,0,GB00B60BWY28,0.0,0.0
Europa Metals Ltd,EUZ.L,EUZ,0,0,AU0000090060,0.0,0.0
BlackRock Frontiers Investment Trust PLC,BRFI.L,BRFI,0,0,GB00B3SXM832,0.0,0.0
Empire Metals Ltd,EEEE.L,EEEE,0,0,VGG3036T1012,0.0,0.0
CATCo Reinsurance Opportunities Fund Ltd,CATC.L,CATC,0,0,BMG1961Q3242,0.0,0.0
Gresham House Renewable Energy VCT 2 plc,GV2O.L,GV2O,0,0,GB00B43GVJ82,0.0,0.0
Gresham House Renewable Energy VCT 1 plc,GV1O.L,GV1O,0,0,GB00B4M2G812,0.0,0.0
International Consolidated Airlines Group SA,ICAG.L,ICAG,0,0,ES0177542018,0.0,0.0
Frontier IP Group PLC,FIPPG.L,FIPPG,0,0,GB00B63PS212,0.0,0.0
Botswana Diamonds PLC,BODP.L,BODP,0,0,GB00B5TFC825,0.0,0.0
Jersey Oil and Gas PLC,JOG.L,JOG,0,0,GB00BYN5YK77,0.0,0.0
Sylvania Platinum Ltd,SLPL.L,SLPL,0,0,BMG864081044,0.0,0.0
dotDigital Group PLC,DOTD.L,DOTD,0,0,GB00B3W40C23,0.0,0.0
Microsaic Systems PLC,MSYS.L,MSYS,0,0,GB00B547ZY09,0.0,0.0
NB Global Monthly Income Fund Ltd,NBMI.L,NBMI,0,0,GG00BQWPBN46,0.0,0.0
Oracle Power PLC,ORCP.L,ORCP,0,0,GB00B23JN426,0.0,0.0
Henderson International Income Trust PLC,HINT.L,HINT,0,0,GB00B3PHCS86,0.0,0.0
Diverse Income Trust PLC,DIVI.L,DIVI,0,0,GB00B65TLW28,0.0,0.0
Glencore PLC,GLEN.L,GLEN,0,0,JE00B4T3BW64,0.0,0.0
Strategic Minerals PLC,SMLP.L,SMLP,0,0,GB00B4W8PD74,0.0,0.0
Learning Technologies Group PLC,LTGL.L,LTGL,0,0,GB00B4T7HX10,0.0,0.0
Genel Energy PLC,GENL.L,GENL,0,0,JE00B55Q3P39,0.0,0.0
IQGeo Group PLC,IQG.L,IQG,0,0,GB00B3NCXX73,0.0,0.0
Enteq Technologies PLC,NTQ.L,NTQ,0,0,GB00B41Q8Q68,0.0,0.0
Smart Metering Systems PLC,SMSS.L,SMSS,0,0,GB00B4X1RC86,0.0,0.0
