Company Name,RIC,RIC1(ticker),delisted MM,delisted YY,ISIN,CUSIP,SEDOL
Kibo Energy PLC,KIBO.L,KIBO,0,0,IE00B97C0C31,,B97C0C3
Baker Steel Resources Trust Ltd,BSRT.L,BSRT,0,0,GG00B6686L20,,B6686L2
AvangardCo Investments Public Ltd,AVGRq.L,AVGRq,0,0,US05349V2097,05349V209,B3W9F88
Shaftesbury Capital PLC,SHCS.L,SHCS,0,0,GB00B62G9D36,,B62G9D3
Ilika PLC,IKA.L,IKA,0,0,GB00B608Z994,,B608Z99
Capital Ltd,CAPD.L,CAPD,0,0,BMG022411000,,B58PK89
Polar Capital Global Healthcare Trust PLC,PCGH.L,PCGH,0,0,GB00B6832P16,,B6832P1
Jupiter Fund Management PLC,JUP.L,JUP,0,0,GB00B53P2009,,B53P200
Tialis Essential IT PLC,TIA.L,TIA,0,0,GB00BN4M3M55,,BN4M3M5
Ocado Group PLC,OCDO.L,OCDO,0,0,GB00B3MBS747,,B3MBS74
GCP Infrastructure Investments Ltd,GCPI.L,GCPI,0,0,JE00B6173J15,,B6173J1
DP Poland PLC,DPP.L,DPP,0,0,GB00B3Q74M51,,B3Q74M5
JPmorgan Global Emerging Markets Income Trust PLC,JEMI.L,JEMI,0,0,GB00B5ZZY915,,B5ZZY91
Argos Resources Ltd,ARGR.L,ARGR,0,0,FK0114538241,,B61L0H0
Scancell Holdings PLC,SCLP.L,SCLP,0,0,GB00B63D3314,,B63D331
Central Asia Metals PLC,CAML.L,CAML,0,0,GB00B67KBV28,,B67KBV2
Avation PLC,AVAP.L,AVAP,0,0,GB00B196F554,,B196F55
Mercantile Ports & Logistics Ltd,MPL.L,MPL,0,0,GG00BKSH7R87,,BKSH7R8
Instem PLC,INS.L,INS,0,0,GB00B3TQCK30,,B3TQCK3
Savannah Resources Plc,SAVS.L,SAVS,0,0,GB00B647W791,,B647W79
Gama Aviation PLC,GMAA.L,GMAA,0,0,GB00B640GZ49,,
Zanaga Iron Ore Company Ltd,ZIOC.L,ZIOC,0,0,GB00B3ZP1526,,B3ZP152
TMT Investments PLC,TMTI.L,TMTI,0,0,VGG9888M1023,,B5W9W47
Hummingbird Resources PLC,HUMR.L,HUMR,0,0,JE00B3RQZ289,,B3RQZ28
Europa Metals Ltd,EUZ.L,EUZ,0,0,GB00B60BWY28,,B60BWY2
BlackRock Frontiers Investment Trust PLC,BRFI.L,BRFI,0,0,AU0000090060,,BM9G091
Empire Metals Ltd,EEEE.L,EEEE,0,0,GB00B3SXM832,,B3SXM83
CATCo Reinsurance Opportunities Fund Ltd,CATC.L,CATC,0,0,VGG3036T1012,,BKTZQR4
Gresham House Renewable Energy VCT 2 plc,GV2O.L,GV2O,0,0,BMG1961Q3242,,BQPDVD5
Gresham House Renewable Energy VCT 1 plc,GV1O.L,GV1O,0,0,GB00B43GVJ82,,B43GVJ8
International Consolidated Airlines Group SA,ICAG.L,ICAG,0,0,GB00B4M2G812,,B4M2G81
Frontier IP Group PLC,FIPPG.L,FIPPG,0,0,ES0177542018,,B5M6XQ7
Botswana Diamonds PLC,BODP.L,BODP,0,0,GB00B63PS212,,B63PS21
Jersey Oil and Gas PLC,JOG.L,JOG,0,0,GB00B5TFC825,,B5TFC82
Sylvania Platinum Ltd,SLPL.L,SLPL,0,0,GB00BYN5YK77,,BYN5YK7
dotDigital Group PLC,DOTD.L,DOTD,0,0,BMG864081044,,B3V5PR6
Microsaic Systems PLC,MSYS.L,MSYS,0,0,GB00B3W40C23,,B3W40C2
NB Global Monthly Income Fund Ltd,NBMI.L,NBMI,0,0,GB00B547ZY09,,B547ZY0
Oracle Power PLC,ORCP.L,ORCP,0,0,GG00BQWPBN46,,BQWPBN4
Henderson International Income Trust PLC,HINT.L,HINT,0,0,GB00B23JN426,,B23JN42
Diverse Income Trust PLC,DIVI.L,DIVI,0,0,GB00B3PHCS86,,B3PHCS8
Glencore PLC,GLEN.L,GLEN,0,0,GB00B65TLW28,,B65TLW2
Strategic Minerals PLC,SMLP.L,SMLP,0,0,JE00B4T3BW64,,B4T3BW6
Learning Technologies Group PLC,LTGL.L,LTGL,0,0,GB00B4W8PD74,,B4W8PD7
Genel Energy PLC,GENL.L,GENL,0,0,GB00B4T7HX10,,B4T7HX1
IQGeo Group PLC,IQG.L,IQG,0,0,JE00B55Q3P39,,B55Q3P3
Enteq Technologies PLC,NTQ.L,NTQ,0,0,GB00B3NCXX73,,B3NCXX7
Smart Metering Systems PLC,SMSS.L,SMSS,0,0,GB00B41Q8Q68,,B41Q8Q6
Doric Nimrod Air Two Ltd,DNA2_p.L,DNA2_p,0,0,GB00B4X1RC86,,B4X1RC8
Trinity Exploration and Production PLC,TRIN.L,TRIN,0,0,GG00B3Z62522,,B3Z6252
Keras Resources PLC,KRS.L,KRS,0,0,GB00BN7CJ686,,BN7CJ68
Spectra Systems Corp,SPSY.L,SPSY,0,0,GB00BMY2T534,,BMY2T53
Great Western Mining Corporation PLC,GWMO.L,GWMO,0,0,US84756T1060,84756T106,B4L4MR9
OptiBiotix Health PLC,OPTIO.L,OPTIO,0,0,GB00BG107324,,BG10732
Agronomics Ltd,ANIC.L,ANIC,0,0,IE00B1FR8863,,B1FR886
Galileo Resources PLC,GLR.L,GLR,0,0,GB00BP0RTP38,,BP0RTP3
Wentworth Resources PLC,WEN.L,WEN,0,0,IM00B6QH1J21,,B6QH1J2
Polymetal International PLC,POLYP.L,POLYP,0,0,GB00B115T142,,B115T14
