Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,SHROUT
2007-11-14,,15.262,,,,,258844000.0
2007-11-26,,15.046,,,,,258844000.0
2007-11-29,,15.2856,,,1.0,14139.0,258844000.0
2007-12-07,,15.0182,,,1.0,40300.0,258844000.0
2007-12-10,,15.0182,,,,,258844000.0
2007-12-18,,14.1028,,,2.0,31736.0,258844000.0
2007-12-19,,14.135,,,2.0,1406.0,258844000.0
2007-12-20,,13.9786,,,,,258844000.0
2007-12-28,,13.7065,,,1.0,7204.0,258844000.0
2008-01-03,,13.2325,,,2.0,1192.0,258844000.0
2008-01-07,,12.43,,,13.0,8121.0,258844000.0
2008-01-08,,12.51,,,7.0,4051.0,258844000.0
2008-01-09,,11.68,,,3.0,4898.0,258844000.0
2008-01-10,,11.7,,,3.0,213.0,258844000.0
2008-01-11,,11.8646,,,1.0,31744.0,258844000.0
2008-01-14,,11.97,,,1.0,45.0,258844000.0
2008-01-15,,10.8,,,3.0,3855.0,258844000.0
2008-01-21,,11.6978,,,,,258844000.0
2008-01-23,,10.6832,,,2.0,1450.0,258844000.0
2008-01-29,,11.6775,,,,,258844000.0
2008-01-31,,11.2269,,,1.0,15000.0,258844000.0
2008-02-01,,11.7425,,,1.0,552.0,258844000.0
2008-02-04,,12.0364,,,1.0,50.0,258844000.0
2008-02-12,,10.7115,,,,,258844000.0
2008-02-14,,11.3439,,,,,258844000.0
2008-02-15,,11.62,,,2.0,14724.0,258844000.0
2008-02-25,,12.3537,,,1.0,29000.0,258844000.0
2008-02-26,,12.4268,,,,,258844000.0
2008-02-28,,10.2287,,,1.0,18500.0,258844000.0
2008-02-29,,10.2519,,,,,258844000.0
2008-03-03,,9.7765,,,1.0,1574.0,258844000.0
2008-03-05,,9.7925,,,1.0,10000.0,258844000.0
2008-03-06,,9.4049,,,,,258844000.0
2008-03-11,,9.3252,,,,,258844000.0
2008-03-17,,8.93,,,1.0,3940.0,258844000.0
2008-03-18,,9.01,,,1.0,17542.0,258844000.0
2008-03-20,,9.0283,,,1.0,12000.0,258844000.0
2008-03-25,,9.0521,,,,,258844000.0
2008-04-01,,9.7845,,,,,258844000.0
2008-04-02,,10.381,,,2.0,9517.0,258844000.0
2008-04-11,,9.33,,,2.0,642548.0,258844000.0
2008-04-14,,9.313,,,,,258844000.0
2008-04-15,,9.12,,,1.0,3000.0,258844000.0
2008-04-16,,8.965,,,,,258844000.0
2008-04-17,,8.8669,,,1.0,68068.0,258844000.0
2008-04-18,,8.8291,,,,,258844000.0
2008-04-22,,8.9554,,,1.0,11400.0,258844000.0
2008-04-23,,8.9987,,,,,258844000.0
2008-04-24,,8.799,,,1.0,89366.0,258844000.0
2008-04-25,,8.799,,,,,258844000.0
2008-04-28,,9.21,,,1.0,350.0,258844000.0
2008-05-02,,9.41,,,2.0,1044.0,258844000.0
2008-05-09,,9.3583,,,3.0,13158.0,258844000.0
2008-05-13,,8.6233,,,1.0,56922.0,258844000.0
2008-05-15,,8.6149,,,2.0,75761.0,258844000.0
2008-05-29,,8.0175,,,1.0,31575.0,258844000.0
2008-06-02,,7.99,,,2.0,9553.0,258844000.0
2008-06-03,,8.035,,,1.0,8821.0,258844000.0
2008-06-06,,7.8673,,,1.0,73412.0,258844000.0
2008-06-09,,7.6,,,9.0,71070.0,258844000.0
2008-06-10,,7.411,,,1.0,77551.0,258844000.0
2008-06-11,,7.4797,,,1.0,8163.0,258844000.0
2008-06-12,,7.345,,,1.0,45.0,258844000.0
2008-06-13,,7.1727,,,2.0,42099.0,258844000.0
2008-06-16,,7.1724,,,,,258844000.0
2008-06-17,,7.2175,,,3.0,131192.0,258844000.0
2008-06-20,,6.89,,,1.0,26000.0,258844000.0
2008-06-25,,6.6962,,,2.0,28500.0,258844000.0
2008-06-26,,6.61,,,1.0,10500.0,258844000.0
2008-06-27,,6.3686,,,1.0,8550.0,258844000.0
2008-06-30,,6.475,,,2.0,3524.0,258844000.0
2008-07-03,,6.615,,,1.0,2100.0,258844000.0
2008-07-04,,6.5651,,,1.0,12000.0,258844000.0
2008-07-09,,6.4297,,,1.0,83540.0,258844000.0
2008-07-17,,6.79,,,7.0,9838.0,258844000.0
2008-07-28,,6.98,,,5.0,1800.0,258844000.0
2008-07-29,,6.98,,,1.0,85245.0,258844000.0
2008-07-30,,7.3046,,,1.0,81000.0,258844000.0
2008-07-31,,7.22,,,2.0,9606.0,258844000.0
2008-08-04,,7.1375,,,1.0,31113.0,258844000.0
2008-08-05,,7.1878,,,1.0,92210.0,258844000.0
2008-08-07,,7.7908,,,1.0,79793.0,258844000.0
2008-08-08,,7.79,,,2.0,17125.0,258844000.0
2008-08-13,,7.8601,,,1.0,8126.0,258844000.0
2008-08-26,,7.5774,,,,,258844000.0
2008-09-01,,8.33,,,,,258844000.0
2008-09-04,,8.31,,,1.0,678.0,258844000.0
2008-09-05,,7.8567,,,2.0,42470.0,258844000.0
2008-09-08,,8.1088,,,8.0,9025.0,258844000.0
2008-09-12,,7.81,,,1.0,1000.0,258844000.0
2008-09-16,,7.191,,,2.0,33000.0,258844000.0
2008-09-19,,7.3575,,,7.0,428980.0,258844000.0
2008-09-23,,7.3716,,,,,258844000.0
2008-10-01,6.97,6.965,6.97,,2.0,6734.0,259163331.0
2008-10-08,5.7,5.6999,5.63,,3.0,36000.0,259163331.0
